PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size
1	1	systemd	19	socket:[3983]	0:8	3983	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[3984]	0:8	3984	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	socket:[3985]	0:8	3985	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	22	socket:[3987]	0:8	3987	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	23	socket:[3988]	0:8	3988	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	27	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	28	socket:[3993]	0:8	3993	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	29	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	30	/dev/autofs	0:5	394	CHR	crw-r--r--	2025-11-19 17:01:53.190830 UTC	2025-11-19 17:01:53.190830 UTC	2025-11-19 17:01:53.190830 UTC	0
1	1	systemd	31	pipe:[3999]	0:14	3999	FIFO	prw-------	2025-11-19 17:01:03.000012 UTC	2025-11-19 17:01:03.000012 UTC	2025-11-19 17:01:03.015013 UTC	0
1	1	systemd	32	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	33	/run/dmeventd-server	0:25	488	FIFO	prw-------	2025-11-19 17:01:00.901012 UTC	2025-11-19 17:01:00.901012 UTC	2025-11-19 17:01:00.901012 UTC	0
1	1	systemd	34	/run/dmeventd-client	0:25	489	FIFO	prw-------	2025-11-19 17:01:00.901012 UTC	2025-11-19 17:01:00.901012 UTC	2025-11-19 17:01:00.901012 UTC	0
1	1	systemd	35	socket:[4002]	0:8	4002	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	36	socket:[4004]	0:8	4004	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	37	socket:[4005]	0:8	4005	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	38	socket:[4007]	0:8	4007	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	39	/run/initctl	0:25	494	FIFO	prw-------	2025-11-19 17:01:00.923012 UTC	2025-11-19 17:01:00.923012 UTC	2025-11-19 17:01:00.923012 UTC	0
1	1	systemd	40	socket:[4009]	0:8	4009	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	41	socket:[4011]	0:8	4011	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	42	socket:[4013]	0:8	4013	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	43	socket:[4015]	0:8	4015	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	44	socket:[4017]	0:8	4017	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	45	socket:[4019]	0:8	4019	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	46	socket:[12576]	0:8	12576	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	47	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	48	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	49	socket:[11669]	0:8	11669	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	50	socket:[11712]	0:8	11712	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	51	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	52	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	53	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	54	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	55	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	56	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	57	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	58	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	59	socket:[11805]	0:8	11805	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	60	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	61	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	62	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	63	socket:[13781]	0:8	13781	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	64	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	65	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	66	socket:[10464]	0:8	10464	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	67	socket:[22590]	0:8	22590	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	68	socket:[10893]	0:8	10893	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	69	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	70	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	71	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	72	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	73	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	74	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	75	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	76	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	77	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	78	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	79	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	80	socket:[10796]	0:8	10796	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	81	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	82	socket:[10894]	0:8	10894	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	83	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	84	socket:[13785]	0:8	13785	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	85	socket:[13791]	0:8	13791	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	86	/sys/fs/cgroup/init.scope/memory.pressure	0:28	43	REG	-rw-r--r--	2025-11-19 17:01:00.367012 UTC	2025-11-19 17:01:00.367012 UTC	2025-11-19 17:01:00.367012 UTC	0
1	1	systemd	87	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	88	socket:[13792]	0:8	13792	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	89	socket:[13794]	0:8	13794	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	90	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	92	socket:[13815]	0:8	13815	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	93	socket:[13806]	0:8	13806	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	94	socket:[14852]	0:8	14852	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[15489]	0:8	15489	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	96	socket:[15498]	0:8	15498	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	98	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	99	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	101	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	102	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	103	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	104	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	105	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	106	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	107	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	108	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	109	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	110	socket:[16875]	0:8	16875	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	111	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	112	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	113	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	114	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	115	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	116	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	117	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	118	socket:[15613]	0:8	15613	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	119	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	120	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	121	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	122	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	123	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	124	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	125	socket:[14978]	0:8	14978	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	126	socket:[16454]	0:8	16454	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	127	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	128	socket:[16658]	0:8	16658	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	129	socket:[16659]	0:8	16659	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	130	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	131	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	132	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	133	socket:[16673]	0:8	16673	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	134	socket:[22694]	0:8	22694	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	135	socket:[15545]	0:8	15545	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	136	socket:[15551]	0:8	15551	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	137	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	138	socket:[17119]	0:8	17119	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
471	471	systemd-journal	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
471	471	systemd-journal	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
471	471	systemd-journal	3	socket:[4011]	0:8	4011	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	4	socket:[4013]	0:8	4013	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	5	socket:[4009]	0:8	4009	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	6	/dev/kmsg	0:5	11	CHR	crw-r--r--	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	0
471	471	systemd-journal	7	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
471	471	systemd-journal	8	/dev/kmsg	0:5	11	CHR	crw-r--r--	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	0
471	471	systemd-journal	9	socket:[11580]	0:8	11580	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	10	/proc/sys/kernel/hostname	0:23	11581	REG	-rw-r--r--	2025-11-19 17:01:01.076012 UTC	2025-11-19 17:01:01.076012 UTC	2025-11-19 17:01:01.076012 UTC	0
471	471	systemd-journal	11	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
471	471	systemd-journal	12	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
471	471	systemd-journal	13	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
471	471	systemd-journal	14	socket:[11583]	0:8	11583	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	15	/sys/fs/cgroup/system.slice/systemd-journald.service/memory.pressure	0:28	421	REG	-rw-r--r--	2025-11-19 17:01:01.023012 UTC	2025-11-19 17:01:01.023012 UTC	2025-11-19 17:01:01.023012 UTC	0
471	471	systemd-journal	16	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
471	471	systemd-journal	17	 /var/log/journal/5ea50f96896348a18ad483f71514c9a2/user-1000@834b99c054774787b506baa84083856f-0000000000005fef-000643f58ac678dd.journal (deleted)	252:0	1706207	REG	-rw-r-----	2025-11-19 17:40:19.972832 UTC	2025-11-19 17:40:19.972832 UTC	2025-11-19 17:40:19.959832 UTC	8388608
471	471	systemd-journal	18	socket:[15498]	0:8	15498	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	19	socket:[22590]	0:8	22590	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	20	socket:[10796]	0:8	10796	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	21	socket:[11669]	0:8	11669	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	22	socket:[11712]	0:8	11712	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	23	socket:[10893]	0:8	10893	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	24	socket:[10894]	0:8	10894	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	25	socket:[15489]	0:8	15489	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	26	socket:[16454]	0:8	16454	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	27	socket:[15551]	0:8	15551	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	29	socket:[15613]	0:8	15613	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	30	/var/log/journal/5ea50f96896348a18ad483f71514c9a2/system.journal	252:0	1705456	REG	-rw-r-----	2025-11-19 17:41:43.098877 UTC	2025-11-19 17:41:43.098877 UTC	2025-11-19 17:40:19.932832 UTC	8388608
471	471	systemd-journal	31	/var/log/journal/5ea50f96896348a18ad483f71514c9a2/user-1000.journal	252:0	1705500	REG	-rw-r-----	2025-11-19 17:41:39.348875 UTC	2025-11-19 17:41:39.348875 UTC	2025-11-19 17:40:19.948832 UTC	8388608
471	471	systemd-journal	32	socket:[15545]	0:8	15545	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	33	socket:[16658]	0:8	16658	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	34	socket:[16659]	0:8	16659	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	35	socket:[16875]	0:8	16875	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	36	socket:[16673]	0:8	16673	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	37	socket:[22694]	0:8	22694	SOCK	srwxrwxrwx	-	-	-	0
471	471	systemd-journal	38	socket:[17119]	0:8	17119	SOCK	srwxrwxrwx	-	-	-	0
507	507	multipathd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
507	507	multipathd	1	socket:[10489]	0:8	10489	SOCK	srwxrwxrwx	-	-	-	0
507	507	multipathd	2	socket:[10489]	0:8	10489	SOCK	srwxrwxrwx	-	-	-	0
507	507	multipathd	3	socket:[4004]	0:8	4004	SOCK	srwxrwxrwx	-	-	-	0
507	507	multipathd	4	/run/multipathd.pid	0:25	596	REG	-rw-r--r--	2025-11-19 17:01:01.783012 UTC	2025-11-19 17:01:01.783012 UTC	2025-11-19 17:01:01.783012 UTC	3
507	507	multipathd	5	/dev/mapper/control	0:5	153	CHR	crw-------	2025-11-19 17:01:53.194830 UTC	2025-11-19 17:01:53.194830 UTC	2025-11-19 17:01:53.194830 UTC	0
507	507	multipathd	6	/dev/mapper/control	0:5	153	CHR	crw-------	2025-11-19 17:01:53.194830 UTC	2025-11-19 17:01:53.194830 UTC	2025-11-19 17:01:53.194830 UTC	0
507	507	multipathd	7	socket:[11700]	0:8	11700	SOCK	srwxrwxrwx	-	-	-	0
